trial,order,absolute_interaction_mass,normalized_mass
62,1,13.752570915623973,0.6135089091849969
62,2,9.1548568910656,0.4084026397276408
62,3,7.864069855826637,0.3508199993007572
62,4,4.308697917762055,0.19221311969609503
62,5,1.2434497875801753e-14,5.547090267594648e-16
62,6,3.552713678800501e-15,1.5848829335984707e-16
62,7,0.0,0.0
63,1,10.770822213847126,0.5167228223509573
63,2,1.9785427406208775,0.09491923353458193
63,3,7.600470101458068,0.3646273500801489
63,4,11.511898764696305,0.5522754625607826
63,5,13.57204546680396,0.6511095902842462
63,6,3.282898397382027,0.15749480324778042
63,7,1.4210854715202004e-14,6.817560266678832e-16
64,1,16.06494225421386,0.6213807732772663
64,2,1.4436051151554636,0.05583764003428191
64,3,3.753806564852084,0.1451946224947828
64,4,14.080566281941547,0.5446264932673294
64,5,9.489300430850502,0.36703952907365894
64,6,1.4210854715202004e-14,5.496659590884549e-16
64,7,7.105427357601002e-15,2.7483297954422745e-16
65,1,11.524712431891036,0.6168776039262421
65,2,4.540943731878258,0.24306085773849642
65,3,4.716014043571679,0.25243176005248474
65,4,10.691713222377984,0.5722900656710643
65,5,8.814788870091853,0.47182486065777973
65,6,3.087166294039495,0.1652452291233835
65,7,1.0658141036401503e-14,5.704930638138701e-16
66,1,7.421568438779463,0.33753124357214187
66,2,16.894394701248693,0.768353226134081
66,3,16.894394701248693,0.768353226134081
66,4,27.881354205583133,1.2680376439449137
66,5,25.39159003356445,1.1548037360297512
66,6,12.25231719355903,0.5572325975427422
66,7,1.9448745769694753,0.08845245313998745
67,1,9.308402163546717,0.5775735379571324
67,2,0.5289515507714206,0.03282071543743394
67,3,11.065415663710297,0.6865938064949563
67,4,5.691385346017039,0.3531426245257911
67,5,1.0658141036401503e-14,6.613229766272785e-16
67,6,7.105427357601002e-15,4.4088198441818566e-16
67,7,0.0,0.0
68,1,12.000233626839314,0.46157078772091564
68,2,17.265413606091677,0.6640879508101812
68,3,15.199771217351277,0.5846361489395753
68,4,27.787341148718482,1.068797936899995
68,5,22.388141640978176,0.8611259158923124
68,6,6.215019347576646,0.2390512939302874
68,7,2.842170943040401e-14,1.09319795081538e-15
69,1,11.385608042162914,0.3991476373732099
69,2,7.198881421635246,0.2523726884444673
69,3,7.198881421635242,0.2523726884444672
69,4,70.15800164287936,2.459543705955759
69,5,109.43846985214843,3.8366072780181577
69,6,59.7838175971217,2.095853770714287
69,7,10.954781575207154,0.38404406400528535
70,1,12.094809940510594,0.5393556630129467
70,2,7.955053351947251,0.3547474574670118
70,3,7.596386669808135,0.33875308408724875
70,4,10.840969910945722,0.48344195095096243
70,5,5.528324252451418,0.24652995848611164
70,6,2.842170943040401e-14,1.2674370254014697e-15
