n,q,trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
9,5,10,1,14.490803337215716,17.53244795925406,17.53244795925406,1.0
9,5,10,2,14.490803337215716,20.512108311806116,20.512108311806116,1.0
9,5,10,3,14.490803337215716,22.963374277742084,22.963374277742084,1.0
9,5,11,1,21.654347967057284,27.95406083574764,27.95406083574764,1.0
9,5,11,2,21.654347967057284,32.69239204259612,32.69239204259612,1.0
9,5,11,3,21.654347967057284,36.83667243245086,36.83667243245086,1.0
9,5,12,1,23.873552318980195,26.7935784878191,26.7935784878191,1.0
9,5,12,2,23.873552318980195,28.368805311536676,28.368805311536676,1.0
9,5,12,3,23.873552318980195,30.514678575922854,30.514678575922854,1.0
9,5,13,1,12.632590393979324,16.14826893161886,16.14826893161886,1.0
9,5,13,2,12.632590393979324,19.574178540754996,19.574178540754996,1.0
9,5,13,3,12.632590393979324,24.91274872208666,24.91274872208666,1.0
9,5,14,1,19.881463816978034,25.216518664740676,25.216518664740676,1.0
9,5,14,2,19.881463816978034,29.225101260008366,29.225101260008366,1.0
9,5,14,3,19.881463816978034,33.158461448990444,33.158461448990444,1.0
9,5,15,1,17.763437149716875,23.59149205981926,23.59149205981926,1.0
9,5,15,2,17.763437149716875,28.9825838184493,28.9825838184493,1.0
9,5,15,3,17.763437149716875,33.7601591649324,33.7601591649324,1.0
9,5,16,1,14.482532903687169,18.14486004625083,18.14486004625083,1.0
9,5,16,2,14.482532903687169,20.61468913270828,20.61468913270828,1.0
9,5,16,3,14.482532903687169,22.45104935416991,22.45104935416991,1.0
9,5,17,1,12.014925673235851,17.446796096475,17.446796096475,1.0
9,5,17,2,12.014925673235851,23.14611732246557,23.14611732246557,1.0
9,5,17,3,12.014925673235851,27.715839309713928,27.715839309713928,1.0
9,5,18,1,18.850186831522535,24.039656797913047,24.039656797913047,1.0
9,5,18,2,18.850186831522535,28.47460264274443,28.47460264274443,1.0
9,5,18,3,18.850186831522535,31.70073752219472,31.70073752219472,1.0
9,5,19,1,16.87995295416019,20.321482631779308,20.321482631779308,1.0
9,5,19,2,16.87995295416019,24.735787194120526,24.735787194120526,1.0
9,5,19,3,16.87995295416019,27.906008847799633,27.906008847799633,1.0
