trial,seed,dimension,alternative_count,repetition,true_class,predicted_class,l1_distance,construction_epsilon,construction_residual_l1,analytic_separation_margin,ground_truth_witness_valid,tolerance,runtime_ms,coefficient_sum
128,20260725,3,4,8,near_boundary,separable,1.9999999996921633e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.3184999950462952,1.0000000000000002
129,20260725,3,4,9,near_boundary,separable,2.0000000014547065e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.28469999961089343,1.0
130,20260725,3,4,10,near_boundary,separable,1.999999999524796e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2762000076472759,1.0
131,20260725,3,4,11,near_boundary,separable,2.0000000003523974e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2801999944495037,1.0
132,20260725,3,4,12,near_boundary,separable,1.9999999996726074e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2793000021483749,1.0
133,20260725,3,4,13,near_boundary,separable,1.9999999992485155e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2759000053629279,1.0
134,20260725,3,4,14,near_boundary,separable,1.9999999999881224e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2835999912349507,1.0
135,20260725,3,4,15,near_boundary,separable,1.9999999998563585e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2766999969026074,1.0
136,20260725,3,4,16,near_boundary,separable,2.0000000001879332e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2829000004567206,0.9999999999999998
137,20260725,3,4,17,near_boundary,separable,1.9999999996451418e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.29799999902024865,1.0
138,20260725,3,4,18,near_boundary,separable,2.0000000005008415e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.29039999935775995,0.9999999999999999
139,20260725,3,4,19,near_boundary,separable,2.0000000001521778e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2862999972421676,0.9999999999999998
140,20260725,3,4,20,near_boundary,separable,1.9999999994677053e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27719998615793884,1.0
141,20260725,3,4,21,near_boundary,separable,2.0000000010816567e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.29039999935775995,1.0000000000000002
142,20260725,3,4,22,near_boundary,separable,1.9999999999209016e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27770000451710075,1.0
143,20260725,3,4,23,near_boundary,separable,2.0000000003043658e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27439999394118786,0.9999999999999999
144,20260725,3,4,24,near_boundary,separable,2.0000000004809929e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2741999924182892,1.0
145,20260725,3,4,25,near_boundary,separable,2.000000000422141e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2708000101847574,1.0
146,20260725,3,4,26,near_boundary,separable,1.9999999991526935e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.27430000773165375,1.0
147,20260725,3,4,27,near_boundary,separable,2.0000000002818147e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.308599992422387,1.0
148,20260725,3,4,28,near_boundary,separable,2.0000000001831896e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2914000069722533,1.0
149,20260725,3,4,29,near_boundary,separable,1.9999999993293703e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2775000029942021,0.9999999999999993
150,20260725,3,4,30,near_boundary,separable,2.0000000001733992e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2719000040087849,0.9999999999999999
151,20260725,3,4,31,near_boundary,separable,2.000000000026413e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.28480000037234277,0.9999999999999999
152,20260725,3,4,32,near_boundary,separable,1.9999999996696076e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2896999940276146,1.0
153,20260725,3,4,33,near_boundary,separable,1.9999999998501746e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27940000290982425,1.0
154,20260725,3,4,34,near_boundary,separable,2.000000000035028e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2792000013869256,1.0
155,20260725,3,4,35,near_boundary,separable,2.0000000005920802e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.28199999360367656,0.9999999999999999
156,20260725,3,4,36,near_boundary,separable,1.9999999992351805e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2830000012181699,1.0
157,20260725,3,4,37,near_boundary,separable,1.999999999142284e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.28140000358689576,0.9999999999999999
158,20260725,3,4,38,near_boundary,separable,1.9999999990652175e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.27350000164005905,1.0
159,20260725,3,4,39,near_boundary,separable,1.9999999995023998e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.275399987003766,1.0
160,20260725,3,4,40,near_boundary,separable,1.9999999993831842e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2857999934349209,1.0
161,20260725,3,4,41,near_boundary,separable,1.9999999991088424e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.27720000070985407,1.0
162,20260725,3,4,42,near_boundary,separable,2.0000000000373318e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2730999985942617,0.9999999999999999
163,20260725,3,4,43,near_boundary,separable,1.9999999998549476e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2720000047702342,1.0
164,20260725,3,4,44,near_boundary,separable,1.9999999997033663e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2919999969890341,1.0
